Symbol,CompanyName,DpmName
GPX,GP STRATEGIES CORP COM,
GQRE,FLEXSHARES TR GLB QLT R/E IDX,
GRA,GRACE W R & CO DEL NEW COM,Belvedere Trading LLC
GRAY,GRAYBUG VISION INC COM SHS,
GRBK,GREEN BRICK PARTNERS INC COM,"Susquehanna Securities, LLC"
GRC,GORMAN RUPP CO COM,"Wolverine Trading, LLC"
GRCL,GRACELL BIOTECHNOLOGIES INC SPONSORED ADS,
GRCY,GREENCITY ACQUISITION CORP COM,
GRCYU,GREENCITY ACQUISITION CORP UNIT EXP 043026,
GRCYW,GREENCITY ACQUISITION CORP WT EXP 042827,
GREK,GLOBAL X FDS MSCI GREECE ETF,"Susquehanna Securities, LLC"
GRES,INDEXIQ ETF TR IQ GLB RES ETF,
GRF,EAGLE CAP GROWTH FD INC COM,
GRFS,GRIFOLS S A SP ADR REP B NVT,"Wolverine Trading, LLC"
GRID,FIRST TR EXCHANGE TRADED FD II NASDQ CLN EDGE,
GRIL,MUSCLE MAKER INC COM,
GRIN,GRINDROD SHIPPING HOLDINGS LTD SHS,
GRMN,GARMIN LTD SHS,Citadel Securities LLC
GRN,BARCLAYS BK PLC ETN 49,
GRNB,VANECK VECTORS ETF TR GREEN BD ETF,
GRNQ,GREENPRO CAP CORP COM,
GRNV,GREENVISION ACQUISITION CORP COM,
GRNVR,GREENVISION ACQUISITION CORP RT,
GRNVU,GREENVISION ACQUISITION CORP UNIT EX 102824,
GRNVW,GREENVISION ACQUISITION CORP WT EXP 102824,
GROW,U S GLOBAL INVS INC CL A,"Susquehanna Securities, LLC"
GROY,GOLD ROYALTY CORP COMMON SHARES,
GROY+,GOLD ROYALTY CORP WT EXP,
GRP=,GRANITE REAL ESTATE INVT TR STAPLED UNIT,
GRPN,GROUPON INC COM NEW,Citadel Securities LLC
GRSV,GORES HLDGS V INC COM CL A,
GRSVU,GORES HLDGS V INC UNIT EX,
GRSVW,GORES HLDGS V INC WT EXP 080525,
