Symbol,CompanyName,DpmName
MRVL,MARVELL TECHNOLOGY GROUP LTD ORD,Citadel Securities LLC
MS,MORGAN STANLEY COM NEW,"Susquehanna Securities, LLC"
MS-A,MORGAN STANLEY PFD A 1/1000,
MS-E,MORGAN STANLEY DEP SHS 1/1000 E,
MS-F,MORGAN STANLEY DEP SHS 1/1000TH,
MS-I,MORGAN STANLEY DEP FIX/FLT,
MS-K,MORGAN STANLEY SH NONCM PFD K,
MS-L,MORGAN STANLEY 4.875 DP SH PF L,
MSA,MSA SAFETY INC COM,
MSAC,MEDICUS SCIENCES ACQUISITION C CL A SHS,
MSACU,MEDICUS SCIENCES ACQUISITION C UNIT,
MSACW,MEDICUS SCIENCES ACQUISITION C WT EXP,
MSB,MESABI TR CTF BEN INT,"Group One Trading, L.P."
MSBI,MIDLAND STS BANCORP INC ILL COM,
MSC,STUDIO CITY INTL HLDGS LTD SPON ADS,
MSCI,MSCI INC COM,"Susquehanna Securities, LLC"
MSD,MORGAN STANLEY EMER MKTS DEBT COM,
MSDAU,MSD ACQUISITION CORP UNIT EX 032526,
MSEX,MIDDLESEX WTR CO COM,
MSFT,MICROSOFT CORP COM,"Susquehanna Securities, LLC"
MSGE,MADISON SQUARE GRDN ENTERTNMNT CL A,"Susquehanna Securities, LLC"
MSGM,MOTORSPORT GAMES INC COM CL A,
MSGN,MSG NETWORK INC CL A,"Susquehanna Securities, LLC"
MSGS,MADISON SQUARE GRDN SPRT CORP CL A,"Susquehanna Securities, LLC"
MSI,MOTOROLA SOLUTIONS INC COM NEW,"Wolverine Trading, LLC"
MSM,MSC INDL DIRECT INC CL A,Citadel Securities LLC
MSN,EMERSON RADIO CORP COM NEW,
MSON,MISONIX INC COM,
MSOS,ADVISORSHARES TR PURE US CANNABIS,Belvedere Trading LLC
MSP,DATTO HLDG CORP COM,"Group One Trading, L.P."
MSTB,ETF SER SOLUTIONS LHA MKT ST TACTL,
MSTR,MICROSTRATEGY INC CL A NEW,"Susquehanna Securities, LLC"
MSVB,MID-SOUTHERN BANCORP INC COM,
MSVX,ETF SER SOLUTIONS LHA MKT ST ALP,
MT,ARCELORMITTAL SA LUXEMBOURG NY REGISTRY SH,GTS Securities LLC
MTA,METALLA RTY & STREAMING LTD COM NEW,"Susquehanna Securities, LLC"
MTAC,MEDTECH ACQUISITION CORP COM CL A,
MTACU,MEDTECH ACQUISITION CORP UNIT EXP 121825,
MTACW,MEDTECH ACQUISITION CORP WT EXP 121825,
MTB,M & T BK CORP COM,"Wolverine Trading, LLC"
MTBC,CARECLOUD INC,
MTBCP,MTBC INC 11% CUM PFD CL A,
MTC,MMTEC INC SHS,
MTCH,MATCH GROUP INC NEW COM,"Susquehanna Securities, LLC"
MTCN,ARCELORMITTAL SA LUXEMBOURG 5.5 NT LKD 23,
MTCR,METACRINE INC COM,
MTD,METTLER TOLEDO INTERNATIONAL COM,
MTDR,MATADOR RES CO COM,Citadel Securities LLC
MTEM,MOLECULAR TEMPLATES INC COM,"Group One Trading, L.P."
MTEX,MANNATECH INC COM NEW,
MTG,MGIC INVT CORP WIS COM,GTS Securities LLC
MTGP,WISDOMTREE TR MORTGAGE PLUS BD,
MTH,MERITAGE HOMES CORP COM,"Susquehanna Securities, LLC"
MTL,MECHEL PAO SPONSORED ADR NE,"Susquehanna Securities, LLC"
MTL-,MECHEL PAO SPON ADR PFD,
MTLS,MATERIALISE NV SPONSORED ADS,"Wolverine Trading, LLC"
MTN,VAIL RESORTS INC COM,GTS Securities LLC
MTNB,MATINAS BIOPHARMA HLDGS INC COM,
MTOR,MERITOR INC COM,"Susquehanna Securities, LLC"
MTP,MIDATECH PHARMA PLC SPONSORED ADS,
MTR,MESA RTY TR UNIT BEN INT,
MTRN,MATERION CORP COM,Citadel Securities LLC
MTRX,MATRIX SVC CO COM,"Wolverine Trading, LLC"
MTSC,MTS SYS CORP COM,
MTSI,MACOM TECH SOLUTIONS HLDGS INC COM,"Wolverine Trading, LLC"
MTSL,MER TELEMANAGEMENT SOLUTIONS SHS,
MTT,WESTERN ASSET MUN DEF OPP TR COM,
MTUL,UBS AG LONDON BRANCH CAL LKD 51,
MTUM,ISHARES TR MSCI USA MMENTM,"Wolverine Trading, LLC"
MTW,MANITOWOC CO INC COM NEW,"Group One Trading, L.P."
MTX,MINERALS TECHNOLOGIES INC COM,"Susquehanna Securities, LLC"
MTZ,MASTEC INC COM,"Wolverine Trading, LLC"
MU,MICRON TECHNOLOGY INC COM,"Susquehanna Securities, LLC"
MUA,BLACKROCK MUNIASSETS FD INC COM,
MUB,ISHARES TR NATIONAL MUN ETF,Citadel Securities LLC
MUC,BLACKROCK MUNIHLDNGS CALI QLTY COM,
MUDS,MUDRICK CAPITAL ACQU CORP II COM CL A,
MUDSU,MUDRICK CAPITAL ACQU CORP II UNIT EX,
MUDSW,MUDRICK CAPITAL ACQU CORP II WT EXP 091027,
MUE,BLACKROCK MUNIHOLDINGS QUALITY COM,
MUFG,MITSUBISHI UFJ FINL GROUP INC SPONSORED ADS,Citadel Securities LLC
MUI,BLACKROCK MUNI INTER DR FD INC COM,
MUJ,BLACKROCK MUNIHLDGS NJ QLTY FD COM,
MUNI,PIMCO ETF TR INTER MUN BD ACT,"Susquehanna Securities, LLC"
MUR,MURPHY OIL CORP COM,"Susquehanna Securities, LLC"
MUSA,MURPHY USA INC COM,"Susquehanna Securities, LLC"
MUST,COLUMBIA ETF TR I MULTI SEC MUNI,
MUX,MCEWEN MNG INC COM,"Susquehanna Securities, LLC"
MVBF,MVB FINL CORP COM,
MVF,BLACKROCK MUNIVEST FD INC COM,
MVIS,MICROVISION INC DEL COM NEW,"Wolverine Trading, LLC"
MVO,MV OIL TR TR UNITS,"Group One Trading, L.P."
